name,itemType,gluten,vegan,vegetarian,sesame,soy,fish,shellfish,dairy,egg,treeNuts,peanuts,wheat,legumes,garlic,mustard,halal,keto,lowFODMAP,dash,lowCarb,description
Dallas Burger,Hand Helds,1,2,2,0,0,0,0,1,2,0,0,1,0,2,0,2,2,2,2,2,"Our fresh ground double patties, smoked bacon jam, jalapeño havarti, chipotle mayo, sauteed red onion, lettuce, tomato and pickle. 23"
Memphis Crispy Chicken Sandwich,Hand Helds,2,2,2,0,0,0,0,2,2,0,0,2,0,2,0,2,2,2,2,2,"Crispy buttermilk marinated chicken breast, Memphis angry mayo hot sauce, house slaw, gherkin, tomatoes. 19½"
Vegan Burger,Hand Helds,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,2,2,2,"Beyond patty, fresh avocado, organic greens, tomatoes, vegan garlic aioli, caramelized onions, vegan bun. 23"
Classic Stinger,Stone Baked Pizza,2,2,2,0,0,0,0,2,0,0,0,2,0,2,0,2,2,2,2,2,"Dry cured pepperoni, spicy salami, honey drizzle and San Marzano tomato sauce. 20"
Philly,Stone Baked Pizza,2,2,2,0,0,0,0,2,0,0,0,2,0,2,0,2,2,2,2,2,"Beef short rib, mozzarella, caramelized red onion, pineapple, garlic confit, fresh herbs and San Marzano tomato sauce. 22"
Burrata Pizza,Stone Baked Pizza,2,2,2,0,0,0,0,2,0,0,0,2,0,2,0,2,2,2,2,2,"San Marzano tomato sauce, burrata cheese, chili oil & basil chiffonade. 21"
Pulled Chicken,Stone Baked Pizza,2,2,2,0,0,0,0,2,0,0,0,2,0,2,0,2,2,2,2,2,"BBQ sauce, pulled chicken, red onions, jalapeños, garlic confit, cilantro and garlic aioli. 21"
Braised Short Rib,Mains,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,"Beef short rib, demi-glace, garlic mashed potatoes, and glazed heirloom carrots. 38"
Boston Fish & Chips,Mains,2,2,2,0,0,2,0,2,2,0,0,2,0,1,0,2,2,0,0,2,"Crispy haddock, house-made beer batter, tartar, house slaw, and fresh-cut fries. 22"
Berber Spiced Grilled Chicken,Mains,0,2,2,0,0,0,0,1,0,0,0,0,0,2,0,2,2,2,2,0,"African berbere spiced grilled chicken, honey roasted heirloom carrots and Jerusalem artichokes, fresh thick yogurt. 29"
Sweet and Sour Chicken,Mains,0,2,2,2,2,0,0,0,0,0,0,0,0,2,0,2,2,2,2,2,"Crispy chicken breast, sauteed vegetables, and fresh pineapple tossed in our house-made sweet and sour sauce, over jasmine rice. 25"
Steaks,Steak,0,2,2,0,0,0,0,1,0,0,0,0,0,1,1,2,1,1,2,0,"Grass-fed Canadian AAA, topped with truffle butter, seasonal vegetables, and garlic mash. 8oz Top Sirloin Steak - A classic well balanced blend of tenderness & hearty flavour. 34 | 7oz Filet Mignon - Center-cut, exceptionally lean & tender. 45 | 12oz New York Striploin - Well-marbled, a fairly lean cut with a flavourful fatty cap. 45"
Baked Chicken Parmesan Raditori,Pasta,2,2,1,0,0,0,0,2,0,0,0,2,0,2,0,2,2,2,2,2,"Roasted chicken, mozzarella, Gran Padano sauce, cauliflower, asparagus, gem tomatoes & toasted breadcrumbs baked in a cast iron skillet. 26"
Shrimp Limone Spaghettini,Pasta,2,1,1,0,0,0,0,2,0,0,0,2,0,2,0,2,2,2,2,2,"Shrimp, lemon wine sauce & gem tomatoes. 27"
Rigatoni Bolognese,Pasta,2,2,2,0,0,0,0,1,0,0,0,2,0,2,0,2,2,2,2,2,"Housemade bolognese sauce, shaved parmesan, basil & basil oil. 26"
Butternut Squash Ravioli,Pasta,2,2,0,0,0,0,0,2,2,1,0,2,0,0,0,0,2,2,2,2,"Brown butter sauce, chili oil, crumbled goat cheese, toasted walnuts & fried sage. 28"
